Dataset,Target,Strategy,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Weighted_Cplx,Formula
MW1,F1,SIMPLE,0.41025641025641024,0.34673085648740554,0.82,0.18181818181818182,0.08206099398622183,12,19,((sqrt(x4) div (x30 div x22)) add ((3.340 mul -4.031) add x4))
MW1,F1,SIMPLE,0.4444444444444444,0.3931785497463923,0.82,0.18181818181818182,0.08206099398622183,16,27,(((sqrt(x4) div (x30 div x22)) add ((3.340 mul -4.031) add x4)) sub sin(sin(x4)))
MW1,F1,WEIGHTED,0.20224719101123595,0.09002191295904333,0.24,0.20833333333333334,0.1344910974643215,1,1,x4
MW1,F1,WEIGHTED,0.3728813559322034,0.2986701722846918,0.78,0.35294117647058826,0.2809757434745082,3,3,(-8.135 add x4)
MW1,F1,WEIGHTED,0.3880597014925373,0.32625876904005374,0.76,0.4,0.363696483726654,5,10,cos(log((x21 sub x12)))
MW1,F1,WEIGHTED,0.46153846153846156,0.4035719805017343,0.82,0.3076923076923077,0.21821789023599236,10,17,cos((log(x34) sub sin((-2.592 add (-7.600 sub -7.370)))))
MW1,MCC,SIMPLE,0.20224719101123595,0.09002191295904333,0.24,0.20833333333333334,0.1344910974643215,1,1,x4
MW1,MCC,SIMPLE,0.225,0.14547859349066158,0.28,0.21739130434782608,0.15617376188860607,2,5,log(x4)
MW1,MCC,SIMPLE,0.26262626262626265,0.1738772210522037,0.54,0.25806451612903225,0.18681617943926834,3,3,(x4 sub 4.704)
MW1,MCC,SIMPLE,0.16666666666666666,0.19047619047619047,0.84,0.0,-0.0842151921066519,4,11,sin(log(sin(x36)))
MW1,MCC,SIMPLE,0.41025641025641024,0.34673085648740554,0.82,0.18181818181818182,0.08206099398622183,5,6,((3.340 mul -4.031) add x4)
MW1,MCC,SIMPLE,0.44,0.3734080224074693,0.78,0.35294117647058826,0.2809757434745082,10,14,(log((x27 add x10)) add ((3.340 mul -4.031) add x4))
MW1,MCC,WEIGHTED,0.20224719101123595,0.09002191295904333,0.24,0.20833333333333334,0.1344910974643215,1,1,x4
MW1,MCC,WEIGHTED,0.3728813559322034,0.2986701722846918,0.78,0.35294117647058826,0.2809757434745082,3,3,(-8.135 add x4)
PC1,F1,SIMPLE,0.2555066079295154,0.20232764094374597,0.6544117647058824,0.27692307692307694,0.2553203283456271,1,1,x3
PC1,F1,SIMPLE,0.2804878048780488,0.21594224283330085,0.7720588235294118,0.3404255319148936,0.3110308698830423,2,5,log(x3)
PC1,F1,SIMPLE,0.3027027027027027,0.25511930052957843,0.7426470588235294,0.3137254901960784,0.2820058026482305,3,4,(x3 mul x4)
PC1,F1,SIMPLE,0.3516483516483517,0.2926116487182696,0.8455882352941176,0.16,0.07699929078471955,7,9,((x3 mul x0) sub (x25 mul x21))
PC1,F1,WEIGHTED,0.2555066079295154,0.20232764094374597,0.6544117647058824,0.27692307692307694,0.2553203283456271,1,1,x3
PC1,F1,WEIGHTED,0.3492063492063492,0.34744855569172334,0.9191176470588235,0.26666666666666666,0.26758794028342153,3,3,(-9.833 add x3)
PC1,MCC,SIMPLE,0.24375,0.2245666329681697,0.5441176470588235,0.225,0.18443343593161313,1,1,x4
PC1,MCC,SIMPLE,0.3037974683544304,0.25184763812164407,0.8970588235294118,0.2222222222222222,0.17500053932695078,2,5,log(x20)
PC1,MCC,SIMPLE,0.3027027027027027,0.25511930052957843,0.7426470588235294,0.3137254901960784,0.2820058026482305,3,4,(x3 mul x4)
PC1,MCC,SIMPLE,0.3236994219653179,0.27824675727481835,0.7794117647058824,0.34782608695652173,0.3188667731678459,5,6,((x3 mul x4) sub x9)
PC1,MCC,WEIGHTED,0.24375,0.2245666329681697,0.5441176470588235,0.225,0.18443343593161313,1,1,x4
PC1,MCC,WEIGHTED,0.3283582089552239,0.3061448979829675,0.9191176470588235,0.26666666666666666,0.26758794028342153,3,3,(x3 sub 8.065)
PC2,F1,SIMPLE,0.08843537414965986,0.15582058114054967,0.47586206896551725,0.07317073170731707,0.13285407418530362,1,1,x3
PC2,F1,SIMPLE,0.16,0.1415482375420092,0.9724137931034482,0.0,-0.01211253957778773,2,5,log(x19)
PC2,F1,SIMPLE,0.2222222222222222,0.257125883670813,0.8344827586206897,0.0,-0.05981570970630743,4,8,log((x19 mul -3.710))
PC2,F1,SIMPLE,0.23880597014925373,0.27199559386627997,0.8482758620689655,0.0,-0.05644272632319809,7,14,(sqrt(x3) mul log((x19 mul -3.710)))
PC2,F1,WEIGHTED,0.08843537414965986,0.15582058114054967,0.47586206896551725,0.07317073170731707,0.13285407418530362,1,1,x3
PC2,F1,WEIGHTED,0.13714285714285715,0.21700713429719304,0.6551724137931034,0.10714285714285714,0.19150161198548035,3,3,(x3 sub x1)
PC2,F1,WEIGHTED,0.2222222222222222,0.257125883670813,0.8344827586206897,0.0,-0.05981570970630743,4,8,log((x19 mul -3.710))
PC2,MCC,SIMPLE,0.08843537414965986,0.15582058114054967,0.47586206896551725,0.07317073170731707,0.13285407418530362,1,1,x3
PC2,MCC,SIMPLE,0.11063829787234042,0.19198611193994244,0.5724137931034483,0.08823529411764706,0.16125187393403298,2,5,log(x3)
PC2,MCC,SIMPLE,0.2222222222222222,0.257125883670813,0.8344827586206897,0.0,-0.05981570970630743,4,8,log((x19 mul -3.710))
PC2,MCC,SIMPLE,0.24242424242424243,0.27519852055205263,0.8551724137931035,0.0,-0.054720599565950004,7,15,(log(x3) mul log((x19 mul -3.710)))
PC2,MCC,WEIGHTED,0.08843537414965986,0.15582058114054967,0.47586206896551725,0.07317073170731707,0.13285407418530362,1,1,x3
PC2,MCC,WEIGHTED,0.17054263565891473,0.24437959270582368,0.7310344827586207,0.09302325581395349,0.1270923694712727,3,3,(x3 sub 5.715)
PC2,MCC,WEIGHTED,0.2222222222222222,0.257125883670813,0.8344827586206897,0.0,-0.05981570970630743,7,15,(exp(x22) mul log((x19 mul -3.710)))
